job,marital,education,default,housing,loan,contact,month,poutcome,y
management,married,tertiary,no,yes,no,cellular,may,unknown,no
services,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,yes
management,divorced,secondary,no,yes,yes,unknown,jun,unknown,no
admin.,married,secondary,no,yes,no,cellular,jan,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,nov,unknown,no
entrepreneur,married,secondary,no,yes,no,unknown,may,unknown,no
unemployed,divorced,primary,no,no,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,yes,cellular,nov,unknown,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,yes,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
services,single,secondary,no,yes,no,cellular,feb,unknown,no
services,single,secondary,no,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,may,other,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
unemployed,married,primary,no,yes,no,cellular,feb,unknown,no
unemployed,married,tertiary,no,no,no,cellular,aug,unknown,no
unknown,married,unknown,no,no,no,cellular,oct,unknown,yes
unemployed,married,secondary,no,yes,no,cellular,jul,unknown,no
admin.,married,secondary,no,no,no,cellular,jul,unknown,no
technician,single,secondary,no,no,no,unknown,jul,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,yes,yes,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,other,no
management,divorced,tertiary,no,no,no,cellular,apr,other,yes
admin.,divorced,secondary,no,no,no,cellular,feb,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jun,failure,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,primary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,unknown,may,unknown,no
admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,telephone,jan,unknown,no
management,married,tertiary,no,yes,no,cellular,feb,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,primary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
technician,divorced,secondary,no,yes,yes,cellular,aug,unknown,no
technician,married,secondary,no,no,no,telephone,jul,unknown,no
management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
entrepreneur,married,unknown,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,jul,unknown,no
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,yes
student,single,secondary,no,yes,no,cellular,mar,unknown,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
retired,divorced,secondary,no,no,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,unknown,no,no,no,cellular,oct,success,yes
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
technician,married,tertiary,no,no,no,telephone,aug,unknown,no
management,married,secondary,no,yes,no,cellular,apr,failure,no
student,married,unknown,no,no,no,unknown,jun,unknown,no
services,married,secondary,no,yes,no,cellular,feb,failure,no
retired,married,secondary,no,no,no,telephone,jun,failure,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,no
services,married,primary,yes,yes,no,unknown,jun,unknown,no
blue-collar,married,tertiary,no,no,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
self-employed,single,secondary,no,yes,no,cellular,jan,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,yes,no,cellular,nov,unknown,yes
management,married,tertiary,no,no,no,telephone,may,failure,no
services,married,secondary,no,no,no,cellular,jun,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,failure,no
entrepreneur,married,tertiary,no,yes,no,cellular,nov,failure,no
management,single,tertiary,no,yes,no,cellular,may,unknown,no
services,married,unknown,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,yes,no,telephone,may,failure,no
management,single,tertiary,no,no,no,unknown,may,unknown,no
admin.,single,secondary,no,no,no,cellular,apr,unknown,no
blue-collar,married,secondary,yes,yes,no,cellular,may,unknown,no
self-employed,married,secondary,no,no,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,jun,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,unknown,may,unknown,yes
blue-collar,married,primary,no,no,no,unknown,jun,unknown,no
blue-collar,single,secondary,no,yes,yes,cellular,jul,unknown,no
management,single,tertiary,no,no,no,cellular,mar,failure,no
services,married,secondary,no,no,no,cellular,jul,unknown,no
technician,single,tertiary,no,no,no,cellular,jan,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,yes,cellular,may,success,yes
technician,married,secondary,no,yes,no,unknown,sep,other,yes
management,single,secondary,no,no,no,cellular,mar,unknown,yes
management,divorced,tertiary,no,yes,no,cellular,may,failure,no
admin.,married,secondary,no,yes,no,cellular,apr,failure,no
self-employed,married,tertiary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
retired,married,primary,no,no,no,telephone,jun,failure,yes
services,divorced,primary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,no,no,cellular,jan,unknown,no
student,single,secondary,no,no,no,telephone,jun,unknown,no
technician,married,tertiary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
admin.,single,secondary,no,no,no,cellular,mar,other,no
management,single,tertiary,no,no,yes,cellular,feb,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,no,no,cellular,mar,unknown,no
housemaid,married,primary,no,yes,no,cellular,jul,unknown,no
technician,single,secondary,no,yes,no,cellular,jul,unknown,no
admin.,single,tertiary,no,no,no,cellular,jan,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
self-employed,married,tertiary,no,yes,yes,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
self-employed,single,tertiary,no,no,no,unknown,jun,unknown,no
retired,divorced,unknown,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,mar,unknown,no
technician,divorced,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
self-employed,married,secondary,no,no,no,cellular,apr,success,no
technician,married,secondary,no,no,no,unknown,jun,unknown,no
management,single,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,cellular,apr,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,other,yes
blue-collar,married,secondary,no,yes,no,cellular,may,other,no
services,married,secondary,no,no,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,failure,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,jun,unknown,no
services,married,secondary,no,yes,no,cellular,apr,failure,no
management,single,tertiary,no,yes,no,cellular,sep,failure,no
services,divorced,secondary,no,yes,no,telephone,nov,unknown,no
management,married,tertiary,no,no,yes,cellular,jun,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
services,single,secondary,no,no,no,telephone,jun,other,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,yes,unknown,jun,unknown,no
technician,married,tertiary,no,no,no,cellular,nov,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,no,yes,cellular,jan,failure,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,telephone,jan,unknown,no
management,married,unknown,no,yes,no,telephone,may,unknown,no
management,divorced,tertiary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,other,no
admin.,single,secondary,no,no,no,unknown,jun,unknown,no
unemployed,single,tertiary,no,yes,no,unknown,jun,unknown,no
blue-collar,divorced,unknown,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,apr,other,yes
admin.,divorced,unknown,no,no,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,cellular,feb,unknown,no
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,no
retired,divorced,primary,no,no,no,cellular,mar,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,yes,yes,no,unknown,may,unknown,no
services,single,secondary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,jul,unknown,no
technician,single,tertiary,no,yes,no,cellular,may,unknown,no
admin.,married,secondary,no,yes,no,cellular,jan,success,no
retired,married,secondary,no,no,no,telephone,jul,unknown,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
student,single,tertiary,no,no,no,cellular,aug,other,no
management,married,tertiary,no,no,no,cellular,aug,success,yes
entrepreneur,married,secondary,no,no,yes,cellular,may,other,no
self-employed,married,secondary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
retired,single,secondary,no,yes,no,unknown,may,unknown,yes
unknown,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
admin.,single,secondary,no,yes,no,cellular,apr,unknown,no
retired,married,secondary,no,no,no,telephone,jul,unknown,yes
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,no
retired,married,tertiary,no,no,no,cellular,oct,success,yes
retired,married,primary,no,no,yes,telephone,jul,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
housemaid,divorced,primary,yes,no,no,unknown,jun,unknown,yes
unknown,married,unknown,no,no,no,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,jul,success,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
technician,divorced,primary,no,yes,no,cellular,may,failure,no
self-employed,married,secondary,no,yes,no,cellular,jul,unknown,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,yes,cellular,jul,unknown,yes
self-employed,married,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,may,unknown,no
technician,married,secondary,no,yes,no,cellular,jan,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,unknown,no
services,single,primary,no,yes,no,unknown,jun,unknown,yes
technician,married,tertiary,no,no,no,cellular,jan,unknown,no
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,no,no,cellular,nov,failure,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,unknown,no,no,no,cellular,jul,unknown,no
technician,single,tertiary,no,yes,no,cellular,jun,unknown,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,yes,cellular,jun,unknown,yes
services,married,secondary,no,yes,no,cellular,jul,unknown,no
admin.,married,tertiary,no,no,yes,cellular,may,unknown,no
services,divorced,secondary,no,no,no,cellular,mar,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,failure,no
technician,married,secondary,no,no,no,cellular,jun,success,yes
blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
technician,single,tertiary,no,yes,no,cellular,may,other,no
services,married,secondary,no,yes,no,telephone,apr,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,divorced,secondary,no,no,no,cellular,feb,unknown,no
management,married,tertiary,no,no,no,unknown,jun,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,tertiary,no,yes,no,cellular,dec,failure,no
blue-collar,married,primary,no,no,no,cellular,mar,unknown,no
self-employed,married,tertiary,no,no,no,cellular,nov,unknown,no
management,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
technician,single,tertiary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,primary,no,yes,yes,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,feb,success,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,primary,no,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
unknown,single,tertiary,no,no,no,telephone,jan,unknown,no
admin.,single,secondary,no,no,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,jul,unknown,no
technician,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,yes,cellular,aug,unknown,no
services,single,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
unemployed,single,secondary,no,no,no,cellular,jan,unknown,no
retired,married,tertiary,no,no,yes,cellular,jul,unknown,no
blue-collar,divorced,primary,no,no,no,telephone,jul,unknown,no
management,married,tertiary,no,no,yes,unknown,jun,unknown,no
services,married,secondary,no,yes,no,cellular,feb,unknown,no
technician,married,secondary,no,no,no,unknown,may,unknown,yes
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,yes,yes,cellular,aug,unknown,no
admin.,divorced,secondary,no,no,no,cellular,aug,unknown,yes
admin.,married,secondary,no,no,no,telephone,jun,unknown,no
entrepreneur,single,secondary,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,no,yes,telephone,jul,unknown,no
technician,single,secondary,yes,no,no,unknown,jun,unknown,no
admin.,divorced,secondary,no,no,no,cellular,jan,unknown,yes
technician,married,secondary,no,yes,no,cellular,nov,failure,no
unemployed,single,secondary,no,no,no,cellular,nov,unknown,no
admin.,single,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
housemaid,married,primary,no,yes,no,telephone,jul,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,jul,unknown,no
unknown,married,unknown,no,no,no,telephone,jan,unknown,no
technician,married,secondary,no,no,no,cellular,apr,failure,no
unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,no,no,cellular,may,other,no
blue-collar,married,secondary,no,yes,no,cellular,apr,failure,no
entrepreneur,married,primary,no,yes,yes,cellular,nov,unknown,no
technician,single,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,nov,other,no
blue-collar,single,unknown,no,yes,no,unknown,jun,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
management,single,secondary,no,no,no,cellular,oct,unknown,no
services,married,secondary,no,yes,no,telephone,nov,unknown,no
blue-collar,married,primary,no,yes,no,cellular,nov,unknown,no
technician,married,secondary,no,no,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,yes,yes,telephone,nov,unknown,yes
services,married,secondary,no,yes,no,cellular,may,failure,no
technician,single,secondary,no,no,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,divorced,secondary,no,yes,no,telephone,nov,other,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
admin.,divorced,secondary,no,no,no,cellular,jul,unknown,no
self-employed,married,secondary,no,yes,no,cellular,nov,failure,no
entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
student,single,unknown,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,no,yes,cellular,jan,unknown,no
admin.,married,secondary,no,yes,no,telephone,nov,unknown,no
blue-collar,married,secondary,no,no,no,telephone,jul,unknown,no
entrepreneur,married,tertiary,no,no,yes,cellular,feb,failure,no
services,single,unknown,no,yes,no,cellular,may,failure,no
self-employed,married,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,may,unknown,no
management,single,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
services,married,secondary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,tertiary,no,yes,yes,cellular,jul,unknown,no
management,married,primary,no,no,yes,unknown,jun,unknown,no
student,single,tertiary,no,no,no,cellular,feb,unknown,yes
admin.,single,secondary,no,yes,no,cellular,apr,unknown,no
admin.,single,secondary,no,yes,no,unknown,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
services,married,unknown,no,no,yes,cellular,nov,success,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,divorced,unknown,no,yes,no,unknown,may,unknown,no
unemployed,divorced,secondary,no,yes,yes,cellular,nov,unknown,no
entrepreneur,married,primary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
unknown,single,unknown,no,no,no,telephone,jan,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,other,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,telephone,may,unknown,no
management,divorced,unknown,no,no,no,cellular,feb,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,may,other,no
management,married,secondary,no,yes,no,cellular,apr,unknown,no
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,jan,failure,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
technician,single,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,telephone,nov,other,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,no,no,cellular,apr,failure,no
self-employed,single,secondary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,no,cellular,jul,unknown,no
unemployed,divorced,secondary,no,yes,no,cellular,feb,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,jul,unknown,no
self-employed,single,tertiary,no,yes,no,cellular,nov,unknown,no
services,single,primary,no,yes,no,cellular,may,unknown,no
student,married,tertiary,no,yes,no,cellular,jul,unknown,no
management,married,secondary,no,yes,yes,cellular,nov,failure,no
blue-collar,married,primary,no,yes,no,cellular,feb,unknown,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
technician,married,unknown,no,no,no,cellular,dec,success,no
management,single,tertiary,no,yes,no,cellular,jul,unknown,yes
services,married,secondary,no,yes,yes,cellular,apr,unknown,no
blue-collar,single,unknown,no,no,no,unknown,jun,unknown,no
management,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
management,single,secondary,no,no,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,cellular,apr,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,yes
management,divorced,tertiary,no,yes,yes,unknown,may,unknown,no
self-employed,married,primary,no,yes,no,unknown,jun,unknown,no
admin.,single,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
retired,married,primary,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
self-employed,married,secondary,no,yes,no,telephone,may,other,no
blue-collar,single,primary,yes,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,no,yes,cellular,nov,unknown,no
technician,married,secondary,no,no,no,unknown,jun,unknown,no
services,married,secondary,no,yes,no,cellular,apr,failure,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,yes,cellular,nov,failure,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,jan,failure,no
unemployed,divorced,secondary,no,no,no,cellular,jan,failure,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
retired,married,secondary,no,no,no,cellular,may,failure,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
self-employed,single,tertiary,no,no,no,unknown,jun,unknown,yes
entrepreneur,single,secondary,no,yes,yes,cellular,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,single,secondary,no,no,no,cellular,feb,unknown,no
admin.,married,secondary,no,yes,no,cellular,nov,unknown,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,nov,unknown,no
technician,single,tertiary,no,yes,no,cellular,apr,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
unemployed,married,tertiary,no,no,no,telephone,jan,unknown,no
services,single,secondary,no,no,no,cellular,may,unknown,no
admin.,divorced,secondary,no,yes,no,cellular,apr,failure,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,primary,no,no,no,cellular,jul,success,yes
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
admin.,married,tertiary,no,yes,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,feb,other,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,may,failure,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
unemployed,married,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,jun,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
services,single,unknown,no,no,no,cellular,oct,unknown,yes
admin.,single,secondary,no,no,no,telephone,jul,unknown,no
technician,single,tertiary,no,no,yes,cellular,jan,unknown,no
blue-collar,married,primary,no,yes,no,unknown,mar,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,failure,no
self-employed,married,tertiary,no,no,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
unknown,married,unknown,no,no,no,cellular,jan,unknown,no
unemployed,single,tertiary,no,no,no,cellular,aug,unknown,no
admin.,single,primary,no,yes,yes,cellular,may,unknown,no
blue-collar,single,primary,no,yes,yes,cellular,jul,unknown,no
services,married,secondary,no,yes,yes,cellular,apr,unknown,no
technician,married,secondary,no,yes,no,unknown,jun,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
housemaid,married,secondary,no,yes,no,cellular,jul,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,no,yes,unknown,jul,unknown,no
management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
technician,single,secondary,no,no,no,cellular,feb,unknown,yes
unemployed,married,tertiary,no,yes,no,cellular,feb,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,success,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,feb,other,no
management,single,tertiary,no,no,no,cellular,feb,failure,yes
technician,married,unknown,no,yes,no,cellular,nov,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
unemployed,single,secondary,no,no,no,telephone,apr,unknown,no
retired,divorced,secondary,no,yes,no,unknown,may,unknown,no
unemployed,divorced,secondary,no,yes,no,cellular,feb,failure,no
management,single,tertiary,no,yes,no,cellular,mar,unknown,yes
student,single,secondary,no,no,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,yes
self-employed,married,secondary,no,no,yes,unknown,jul,other,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,cellular,mar,unknown,yes
unemployed,married,primary,no,yes,yes,unknown,may,unknown,no
technician,single,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,no,yes,cellular,jan,failure,no
technician,married,primary,no,no,no,unknown,jun,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,primary,no,no,no,unknown,jun,unknown,no
admin.,single,tertiary,no,no,yes,cellular,apr,unknown,no
blue-collar,married,primary,no,no,no,unknown,jun,unknown,no
